University Name,Location,Tuition Fees
Tribhuvan University,"Kathmandu, Other - Nepal",<!-- -->1 L
Manipal College of Medical Science,"Pokhara, Other - Nepal",<!-- -->27.5 L
B.P. Koirala Institute of Health Sciences,"Dharan, Other - Nepal",<!-- -->20.07 L
Kathmandu Medical College,"Kathmandu, Other - Nepal",<!-- -->7.8 L
Kathmandu University School of Medical Sciences,"Kavrepalanchok, Other - Nepal",<!-- -->11.23 L
Kathmandu University,"Kavrepalanchok, Other - Nepal",<!-- -->99.95 K - 50.17 L
Patan Academy of Health Sciences,"Lalitpur, Other - Nepal",<!-- -->16.73 L
College Of Medical Sciences,"Bharatpur, Other - Nepal",<!-- -->7.5 L
